number,name,diameter (km),Period (h),a (AU),e,slow,a_mean
52712,1998FK107,6.61,5.43334,3.0833,0.0632,False,3.077136118740282
52723,1998GP2,14.62,11.90778,3.1685,0.0657,False,3.1616542052771677
52727,1998GG9,6.03,3.47599,3.1288,0.2053,False,3.062153714763162
52728,1998GW9,9.47,37.877,3.1672,0.1854,False,3.112290686187064
52741,1998HW116,8.04,7.2471,3.0081,0.1302,False,2.9824943032020457
52751,1998KR37,12.43,5.10477,3.1416,0.0671,False,3.1345196357053102
52754,1998KN62,11.93,18.5192,3.1728,0.2216,False,3.093916741699338
52809,1998QQ91,3.6,2.4916,2.1531,0.1321,False,2.134231081235408
52820,1998RS2,3.98,2.134118,2.2126,0.1702,False,2.180317146494145
52869,1998SZ25,4.22,211.07,2.2738,0.1525,False,2.247204431450274
52870,1998SC26,5.53,4.126133,2.3588,0.2048,False,2.3088025011673436
52909,1998SZ86,4.92,6.17653,3.0401,0.0719,False,3.0322317521999245
52920,1998SQ110,2.08,8.6383,2.1792,0.1285,False,2.1611333617479875
52946,1998SZ142,2.3,7.6513,2.2526,0.1447,False,2.2288926762364563
52951,1998SO147,3.6,6.26111,2.3707,0.1764,False,2.333524025172102
52977,1998UE4,6.57,4.90369,2.3406,0.187,False,2.299311613953002
53069,1998XC49,6.5,17.5733,2.6245,0.1691,False,2.5867043108115966
53074,1998XN64,3.56,6.5105,2.4035,0.1555,False,2.3742635670017638
53084,1998XH89,3.28,5.857617,2.2307,0.1387,False,2.20913904313521
53086,1998XK95,4.27,5.09088,2.5316,0.1617,False,2.498284047029385
53141,1999BW6,7.85,5.81154,2.7241,0.0641,False,2.7184978348581894
53161,1999CP6,9.23,4.30515,2.5919,0.1272,False,2.5708462273931314
53171,1999CP21,5.28,7.249,2.7553,0.0799,False,2.7464909869061396
53178,1999CT35,6.27,5.47316,2.398,0.2378,False,2.329211309492688
53185,1999CZ44,5.81,8.3291,2.638,0.1311,False,2.6152318156088494
53192,1999CB50,4.22,26.95,2.7239,0.0525,False,2.7201435350873377
53206,1999CK74,3.86,3.82599,2.7637,0.101,False,2.749567614648585
53225,1999CG94,8.04,5.5388,2.7885,0.1458,False,2.7587023277427214
53248,1999DA3,5.28,6.35348,2.8549,0.0605,False,2.8496703863271446
53275,1999FN31,5.59,3.3504,2.8615,0.0454,False,2.8585494741693016
53298,1999GF25,6.5,5.51813,2.8995,0.0387,False,2.8973279103385208
53299,1999GJ26,3.51,4.70344,2.8312,0.0479,False,2.827950168021765
53303,1999GF45,8.95,6.24261,3.1021,0.0463,False,3.098773245786553
53323,1999JV16,6.34,3.04224,2.9849,0.05,False,2.9811665401273713
53327,1999JL23,6.66,162.54,2.7728,0.2768,False,2.6644599159075595
53328,1999JS26,3.68,19.0328,2.6661,0.251,False,2.580750371826146
53330,1999JN32,7.32,6.5,3.0595,0.08,False,3.049693885031742
53337,1999JX42,8.9,135.38,2.7393,0.1648,False,2.701845563696325
53347,1999JE58,13.55,35.311,3.1595,0.214,False,3.0863059498875027
53349,1999JM61,5.91,13.8584,3.0854,0.1552,False,3.048014424189517
53360,1999JU75,6.85,10.9539,2.7681,0.1471,False,2.737987571502106
53362,1999JY76,7.65,5.30554,2.9953,0.1396,False,2.9659699569649294
53367,1999JR80,10.28,38.667,3.097,0.2578,False,2.9923161432369474
53373,1999JP83,3.96,7.2413,2.6771,0.2511,False,2.5913287975561037
53374,1999JC84,5.39,6.65127,2.7956,0.14,False,2.768067543349331
53380,1999JS89,6.05,3.55229,3.0678,0.0986,False,3.0528510635760457
53402,1999JG119,17.12,6.8523,3.1464,0.1125,False,3.1264257865972125
53474,2000AC40,2.51,7.3129,2.2398,0.1376,False,2.2184947531413295
53512,2000AZ127,11.87,80.85,3.1602,0.142,False,3.1281766116217673
53542,2000BE1,2.51,13.7373,2.2763,0.2824,False,2.183647174749736
53620,2000CN93,3.12,3.1567,2.3557,0.2181,False,2.2989898829771853
53634,2000DF1,3.31,51.987,2.2745,0.1346,False,2.2538020844308204
53641,2000DD16,3.13,5.7993,2.2501,0.1113,False,2.236119798845899
53714,2000EY,3.3,9.6751,2.2616,0.1282,False,2.2429380344641947
53731,2000EL39,3.08,5.14483,2.4049,0.0687,False,2.3992180966246988
53799,2000EP118,4.5,7.3141,2.3207,0.1569,False,2.2919569576839987
53812,2000EL136,8.91,7.4234,2.646,0.1662,False,2.609199603109919
53815,2000EQ137,4.63,2.70461,2.3957,0.2107,False,2.3419183822284415
53819,2000ER139,6.91,3.17993,3.029,0.1151,False,3.0088689926089485
53828,2000ED155,7.68,5.82717,2.7497,0.1663,False,2.711410991305908
53843,Antjiekrog,6.79,4.213444,2.3593,0.0607,False,2.3549495804041243
53848,2000FT13,15.77,6.9425,3.0914,0.1075,False,3.073485598152324
53851,2000FR16,4.59,14.6992,2.6159,0.141,False,2.5897661019490523
53862,2000FA26,3.39,10.5579,2.7005,0.0622,False,2.695271036382944
53878,2000FY35,4.3,140.01,2.6402,0.0948,False,2.628309432951584
53906,2000FH61,4.22,5.22848,2.6726,0.0794,False,2.664162163916507
53950,2000GX56,2.25,6.24919,2.3369,0.0753,False,2.3302653652260625
54003,2000GN91,9.94,25.9,2.8075,0.147,False,2.7770007015652247
54030,2000GF105,2.2,5.539371,2.2213,0.1572,False,2.1936821053289624
54044,2000GG114,3.85,5.5097,2.6886,0.1607,False,2.6536570666447616
54047,2000GM123,8.58,8.9514,2.566,0.1095,False,2.5505701177327
54058,2000GG134,4.61,8.1913,2.941,0.1493,False,2.908037109506051
54063,2000GC136,6.51,5.14984,2.8416,0.216,False,2.7745193813042
54094,2000GU183,10.22,21.283,3.1287,0.0566,False,3.123684490820618
54096,2000HX1,2.87,8.9615,2.3516,0.1863,False,2.3104303173423157
54108,2000HU9,14.39,7.1846,3.191,0.1625,False,3.1485869626062017
54114,2000HZ12,7.2,5.28459,2.7673,0.0588,False,2.762511970979815
54130,2000HE31,4.91,2.92266,2.6676,0.212,False,2.606964560907294
54139,2000HZ36,5.5,3.88744,2.574,0.0932,False,2.5627964268255408
54218,2000HC97,5.56,4.59314,3.1936,0.0702,False,3.1857211869631468
